tweets,id,len,date,source,likes,retweets,polarity,subjectivity
"RT @life_trotter: A little something from the short film Tejjas and I are putting up soon on fishing in Udupi. 

More behind the scenes her…",1140307115828924416,140,2019-06-16 17:16:16,Twitter for Android,0,3,-0.02,0.5
"RT @LakersNation: Welcome to Lakers, @AntDavis23!
https://t.co/uhEkDZkDaq https://t.co/ZIqET4FXgS",1140245913400573953,97,2019-06-16 13:13:05,Twitter for Android,0,2120,0.8,0.9
@stigette_baxi And by a ledge no less.,1140141086393765888,38,2019-06-16 06:16:32,Twitter for Android,9,0,0.08,0.07
RT @jonathanrego: @Solicolah No Championship should have an asterix. Period.,1139955693132193792,76,2019-06-15 17:59:51,Twitter for Android,0,1,0.0,0.0
RT @peejaygeorge: I am more worried about the impact of TV and smartphones on my parents than on my children.,1139774745270870016,109,2019-06-15 06:00:49,Twitter for Android,0,424,0.5,0.5
"RT @JaroGiesbrecht: @JustinTrudeau @NBA ""Let's go @Raptors!"" chant in the HOC, as Canada's celebration continues. #Toronto Liberal MP @vira…",1139774236485013504,140,2019-06-15 05:58:48,Twitter for Android,0,59,0.0,0.0
RT @sopranoxs: Casteism in Islam and Christianity aren't talked about enough imo and we are quick to rubbish this discourse on account of b…,1138716836055248896,140,2019-06-12 07:57:04,Twitter for Android,0,1,0.17,0.5
"RT @tonyparker: 🇺🇸 It’s with a lot of emotion that I retire from basketball, it was an incredible journey! Even in my wildest dreams, I nev…",1138137825931550720,140,2019-06-10 17:36:17,Twitter for Android,0,23740,0.9,0.9
"RT @sixthformpoet: Hello, good morning. A ridiculous but ENTIRELY TRUE story coming up, told in three parts. Ten tweets per part so you mig…",1137900138121256960,140,2019-06-10 01:51:48,Twitter for Android,0,2605,0.18,0.56
"RT @Aurgho_: ""Lucky idiot"" - that's how I'd describe myself, whenever someone would ask how did I manage to fall in love and find someone l…",1136999511610388480,140,2019-06-07 14:13:02,Twitter Web Client,0,759,0.01,0.74
@Hyper_aice It's like he's John Wick in real life!,1136210479850766336,50,2019-06-05 09:57:42,Twitter for Android,1,0,0.2,0.3
"RT @everywhereist: The Joker should have been a woman. And she finally went insane because too many random dudes told her to smile, so now…",1134700891460685824,139,2019-06-01 05:59:08,Twitter for Android,0,46607,-0.14,0.62
"RT @adhicutting: Sisters, please consider to not shame men for not lasting longer when outraging about lack of men who can give an orgasm?…",1134461178824994817,139,2019-05-31 14:06:36,Twitter for Android,0,99,0.0,0.0
"@NoStance What's the link tho? If someone claims they are X, and acts against that claim, how does the fact that so… https://t.co/wSpfPcT8jM",1134358571242573824,140,2019-05-31 07:18:53,Twitter Web Client,1,0,0.0,0.0
"RT @saffrontrail: #Bangalore 
Looking for non-mall based recommendations to experience in Bangalore during the holidays for a 10 year old.…",1134025036400975872,139,2019-05-30 09:13:32,Twitter Web Client,0,42,0.1,0.2
This. So much this. https://t.co/VIxJyk1Y8n,1131843038718726146,43,2019-05-24 08:43:03,Twitter Web Client,2,2,0.2,0.2
RT @achakrava: That doesn't mean elites should suck all the oxygen out of organizing spaces. Be quiet. Listen to marginalized voices. Just…,1131581281827844097,139,2019-05-23 15:22:56,Twitter Web App,0,67,-0.16,0.51
@Hyper_aice And now my watch begins.,1131494087218028544,36,2019-05-23 09:36:27,Twitter Web Client,1,0,0.0,0.0
@shohinisengupta Over Digvijay Singh no less.,1131431645364404226,45,2019-05-23 05:28:19,Twitter Web Client,1,0,0.08,0.07
"RT @torproject: We've got big news. 

After months of work, Tor Browser is now stable on Android. 

Tor Browser 8.5 brings the highest degr…",1131131627763949568,140,2019-05-22 09:36:10,Twitter Web Client,0,721,0.0,0.1
"RT @radi0cure: where's my ""english-is-not-my-first-language-but-my-country-was-colonised-so-i-speak-english-better-than-my-mother-tongue-so…",1130728500044881921,140,2019-05-21 06:54:16,Twitter Web Client,0,4635,0.19,0.21
@Hyper_aice Every silver lining has a cloud I guess. :P,1130457462270595072,55,2019-05-20 12:57:16,Twitter Web Client,0,0,0.0,0.0
@zomatocare @ZomatoIN Hi. What's the resolution?,1071796775084732417,48,2018-12-09 16:00:38,Twitter Web App,0,0,0.0,0.0
@zomatocare @ZomatoIN Just DMd,1071794946359709696,30,2018-12-09 15:53:22,Twitter Web App,0,0,0.0,0.0
@ZomatoIN had the worst experience with you today. Ordered at 7:45. Restraunt and delivery boy were unreachable for… https://t.co/QCWzQzIEKB,1071794225220476928,140,2018-12-09 15:50:30,Twitter Web App,0,0,-1.0,1.0
Your friends on the right in the US seem to be arguing the same about Berkeley. The college campus has always been… https://t.co/SlmTjn7Ha7,1047456068278734848,139,2018-10-03 11:59:22,Twitter for Android,0,0,0.14,0.33
RT @Spacekatgal: Please RT if you are a man who has never been in a bar fight. https://t.co/lz9ksKsJtN,1047251981805342721,102,2018-10-02 22:28:24,Twitter for Android,0,25344,0.0,0.0
Who else wondered why a professor of English was getting a Nobel prize in physics?  Just me? Cool. https://t.co/GDqicLu3rc,1047088257345892352,122,2018-10-02 11:37:49,Twitter for Android,6,0,0.17,0.33
@HavaldarShinde @timesofindia @TOIChennai True. Also the headline is based off of one random comment in the article… https://t.co/vIbixipMvo,1046471756666482688,140,2018-09-30 18:48:03,Twitter for Android,0,0,-0.08,0.57
@HavaldarShinde @timesofindia @TOIChennai Really irresponsible reporting!,1046470193336074240,73,2018-09-30 18:41:51,Twitter for Android,0,0,0.2,0.2
